id	uniprot	gene_name	description	p_value	fdr	log_fc	sub_local	ubi_part	in_mito
Q8VC85	Q8VC85	LSM1	U6 snRNA-associated Sm-like protein LSm1 OS=Mus musculus GN=Lsm1 PE=1 SV=1	0.07828531337020482	0.1577560035858992	-0.1283586077522301	NA	NA	FALSE
Q9D0R8	Q9D0R8	LSM12	Protein LSM12 homolog OS=Mus musculus GN=Lsm12 PE=1 SV=1	0.0018275612658040265	0.012300143266547305	0.25326269455543354	NA	NA	FALSE
Q8K2F8	Q8K2F8	LSM14A	Protein LSM14 homolog A OS=Mus musculus GN=Lsm14a PE=1 SV=1	1.2880492841810674e-4	0.0024194439256914643	0.38350836894921175	NA	NA	FALSE
Q8CGC4	Q8CGC4	LSM14B	Protein LSM14 homolog B OS=Mus musculus GN=Lsm14b PE=1 SV=3	0.08523694376402827	0.1684008475186345	-0.20459471344631136	NA	NA	FALSE
O35900	O35900	LSM2	U6 snRNA-associated Sm-like protein LSm2 OS=Mus musculus GN=Lsm2 PE=1 SV=1	0.1066085206750319	0.1989368427274238	-0.25394402740157185	NA	NA	FALSE
P62311	P62311	LSM3	U6 snRNA-associated Sm-like protein LSm3 OS=Mus musculus GN=Lsm3 PE=1 SV=2	0.4257238240173059	0.5535868916106663	0.04251092901479638	NA	NA	FALSE
Q9QXA5	Q9QXA5	LSM4	U6 snRNA-associated Sm-like protein LSm4 OS=Mus musculus GN=Lsm4 PE=1 SV=1	0.21661818858596607	0.33705143522517855	0.08020858273783942	NA	NA	FALSE
P62313	P62313	LSM6	U6 snRNA-associated Sm-like protein LSm6 OS=Mus musculus GN=Lsm6 PE=1 SV=1	0.3870954563513632	0.5148377800292956	-0.05622613944322222	NA	NA	FALSE
Q6ZWM4	Q6ZWM4	LSM8	U6 snRNA-associated Sm-like protein LSm8 OS=Mus musculus GN=Lsm8 PE=1 SV=3	0.19120978788089754	0.30697553934528693	-0.0782539308130187	NA	NA	FALSE
Q8BLN5	Q8BLN5	LSS	Lanosterol synthase OS=Mus musculus GN=Lss PE=1 SV=2	0.4489914162254197	0.5739302568149031	0.07172087781914269	NA	NA	FALSE
P24527	P24527	LTA4H	Leukotriene A-4 hydrolase OS=Mus musculus GN=Lta4h PE=1 SV=4	0.8586388654336301	0.9090700919579141	0.01806902207923141	NA	NA	FALSE
Q6A009	Q6A009	LTN1	E3 ubiquitin-protein ligase listerin OS=Mus musculus GN=Ltn1 PE=1 SV=3	6.342013116153974e-4	0.006316766248653361	0.293336174660696	NA	E3 simple	FALSE
Q7TNC4	Q7TNC4	LUC7L2	Putative RNA-binding protein Luc7-like 2 OS=Mus musculus GN=Luc7l2 PE=1 SV=1	0.002520215359117558	0.015157641414692618	0.2209961378964359	NA	NA	FALSE
Q5SUF2	Q5SUF2	LUC7L3	Luc7-like protein 3 OS=Mus musculus GN=Luc7l3 PE=1 SV=1	1.6367336461183907e-4	0.0027820024338235144	0.4847852030576488	NA	NA	FALSE
Q9D6I9	Q9D6I9	LURAP1	Leucine rich adaptor protein 1 OS=Mus musculus GN=Lurap1 PE=1 SV=1	0.2441724397569632	0.3662586596354448	0.15449150187511523	NA	NA	FALSE
Q8R4U7	Q8R4U7	LUZP1	Leucine zipper protein 1 OS=Mus musculus GN=Luzp1 PE=1 SV=2	0.337688316963046	0.4644328105989122	-0.125325069360318	NA	NA	FALSE
Q8BGY3	Q8BGY3	LUZP2	Leucine zipper protein 2 OS=Mus musculus GN=Luzp2 PE=2 SV=1	0.17814509932832845	0.2910704527558758	-0.06513418906059436	NA	NA	FALSE
P70202	P70202	LXN	Latexin OS=Mus musculus GN=Lxn PE=1 SV=2	2.5727961594174956e-5	9.79336636391173e-4	-0.4915708519248967	NA	NA	FALSE
Q64253	Q64253	LY6E	Lymphocyte antigen 6E OS=Mus musculus GN=Ly6e PE=1 SV=2	0.2632109571112337	0.38756698133963435	0.09889832023486617	NA	NA	FALSE
P35460	P35460	LY6F	Lymphocyte antigen 6F OS=Mus musculus GN=Ly6f PE=3 SV=1	0.5474129991119538	0.6633220281761472	-0.12098797480739415	NA	NA	FALSE
Q9WUC3	Q9WUC3	LY6H	Lymphocyte antigen 6H OS=Mus musculus GN=Ly6h PE=1 SV=2	0.1112469550225381	0.20478213762977512	0.12239805558886394	NA	NA	FALSE
Q08288	Q08288	LYAR	Cell growth-regulating nucleolar protein OS=Mus musculus GN=Lyar PE=1 SV=2	0.6979035234706951	0.7879759096225989	-0.0502326285669512	NA	NA	FALSE
P25911	P25911	LYN	Tyrosine-protein kinase Lyn OS=Mus musculus GN=Lyn PE=1 SV=4	0.3756645698142087	0.5028422606864703	-0.17197593366509697	NA	NA	FALSE
Q8BLC3	Q8BLC3	LYPD1	Ly6/PLAUR domain-containing protein 1 OS=Mus musculus GN=Lypd1 PE=2 SV=1	0.49888975062980434	0.6199272347390639	-0.13800699538533642	NA	NA	FALSE
Q8BPP5	Q8BPP5	LYPD6	Ly6/PLAUR domain-containing protein 6 OS=Mus musculus GN=Lypd6 PE=2 SV=1	0.02819093351532586	0.07503586771845244	0.19120649928718078	NA	NA	FALSE
P97823	P97823	LYPLA1	Acyl-protein thioesterase 1 OS=Mus musculus GN=Lypla1 PE=1 SV=1	0.1001303333095585	0.19038662107786614	-0.22737480196282941	unknown	NA	TRUE
Q9WTL7	Q9WTL7	LYPLA2	Acyl-protein thioesterase 2 OS=Mus musculus GN=Lypla2 PE=1 SV=1	0.05121749963854754	0.11591899043535492	-0.11436568253200982	NA	NA	FALSE
Q3UFF7	Q3UFF7	LYPLAL1	Lysophospholipase-like protein 1 OS=Mus musculus GN=Lyplal1 PE=1 SV=3	6.661894850531817e-4	0.006551910737433415	0.256017542989181	unknown	NA	TRUE
Q8K215	Q8K215	LYRM4	LYR motif-containing protein 4 OS=Mus musculus GN=Lyrm4 PE=1 SV=1	0.007670440965689149	0.03147542429418639	0.2548923113310703	Matrix	NA	TRUE
Q9DA03	Q9DA03	LYRM7	Complex III assembly factor LYRM7 OS=Mus musculus GN=Lyrm7 PE=3 SV=2	0.0042398378430306485	0.020914972955959548	-0.20677260116953075	Matrix	NA	TRUE
Q9D0E3	Q9D0E3	LYSMD1	LysM and putative peptidoglycan-binding domain-containing protein 1 OS=Mus musculus GN=Lysmd1 PE=1 SV=1	0.4647204038935696	0.5886646671434342	-0.04472197524448566	NA	NA	FALSE
P97412	P97412	LYST	Lysosomal-trafficking regulator OS=Mus musculus GN=Lyst PE=1 SV=1	0.024361935908293893	0.06808932489114312	0.10374393312007939	NA	NA	FALSE
Q8K3C3	Q8K3C3	LZIC	Protein LZIC OS=Mus musculus GN=Lzic PE=1 SV=1	0.04977878346318113	0.11380346877273319	0.1409067888604035	NA	NA	FALSE
Q9JHQ5	Q9JHQ5	LZTFL1	Leucine zipper transcription factor-like protein 1 OS=Mus musculus GN=Lztfl1 PE=1 SV=1	5.514374985429991e-4	0.005747348403058419	0.3508339471575218	NA	NA	FALSE
P60853	P60853	LZTS1	Leucine zipper putative tumor suppressor 1 OS=Mus musculus GN=Lzts1 PE=2 SV=3	0.03173375454310297	0.08185345759468415	0.1831789993827334	NA	NA	FALSE
A2AHG0	A2AHG0	LZTS3	Leucine zipper putative tumor suppressor 3 OS=Mus musculus GN=Lzts3 PE=1 SV=1	8.563899424420851e-4	0.007576688953288886	-0.3195928994658901	NA	NA	FALSE
P24668	P24668	M6PR	Cation-dependent mannose-6-phosphate receptor OS=Mus musculus GN=M6pr PE=1 SV=1	1.3806519209088713e-4	0.002532343154478869	-0.363857215309807	NA	NA	FALSE
Q9QXZ0	Q9QXZ0	MACF1	Microtubule-actin cross-linking factor 1 OS=Mus musculus GN=Macf1 PE=1 SV=2	0.8832580770277301	0.9251137427676578	0.008183450908037963	NA	NA	FALSE
Q922B1	Q922B1	MACROD1	O-acetyl-ADP-ribose deacetylase MACROD1 OS=Mus musculus GN=Macrod1 PE=1 SV=2	0.9221169621406643	0.9516923095995277	0.004142949669342387	Matrix	NA	TRUE
Q3UYG8	Q3UYG8	MACROD2	O-acetyl-ADP-ribose deacetylase MACROD2 OS=Mus musculus GN=Macrod2 PE=1 SV=1	0.5251983769524715	0.6447724922154483	0.027959982765329388	NA	NA	FALSE
Q80U28	Q80U28	MADD	MAP kinase-activating death domain protein OS=Mus musculus GN=Madd PE=1 SV=2	0.12195114619135439	0.2185686015549919	0.09822360505516615	MIM	NA	TRUE
Q4VC33	Q4VC33	MAEA	Macrophage erythroblast attacher OS=Mus musculus GN=Maea PE=1 SV=1	0.6506735337891587	0.7498089450720684	0.027534646147214938	NA	NA	FALSE
P20917	P20917	MAG	Myelin-associated glycoprotein OS=Mus musculus GN=Mag PE=1 SV=2	0.2745128519628124	0.39904203788691417	0.04910074334200123	NA	NA	FALSE
Q9QYH6	Q9QYH6	MAGED1	Melanoma-associated antigen D1 OS=Mus musculus GN=Maged1 PE=1 SV=1	0.8483369610382117	0.9015083525674895	-0.018458126635356235	NA	NA	FALSE
Q6PCZ4	Q6PCZ4	MAGEE1	Melanoma-associated antigen E1 OS=Mus musculus GN=Magee1 PE=1 SV=1	0.9295580919831895	0.9556847247460307	-0.004328845083450939	NA	NA	FALSE
Q6RHR9	Q6RHR9	MAGI1	Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1 OS=Mus musculus GN=Magi1 PE=1 SV=1	0.19571966700737833	0.31238237232231475	0.07134259751346611	NA	NA	FALSE
Q9WVQ1	Q9WVQ1	MAGI2	Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2 OS=Mus musculus GN=Magi2 PE=1 SV=2	0.20137892784923817	0.31868093144425574	-0.06627027162440655	NA	NA	FALSE
Q9EQJ9	Q9EQJ9	MAGI3	Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3 OS=Mus musculus GN=Magi3 PE=1 SV=2	0.04874491922815164	0.11246752850316802	-0.08974969184724692	NA	NA	FALSE
P61327	P61327	MAGOH	Protein mago nashi homolog OS=Mus musculus GN=Magoh PE=2 SV=1	0.8976364292722744	0.9345399242839674	0.008011913765914105	NA	NA	FALSE
Q9CQY5	Q9CQY5	MAGT1	Magnesium transporter protein 1 OS=Mus musculus GN=Magt1 PE=1 SV=1	0.03482457048783864	0.0874809993580043	-0.34717191079824583	NA	NA	FALSE
Q8BHE8	Q8BHE8	MAIP1	m-AAA protease-interacting protein 1, mitochondrial OS=Mus musculus GN=Maip1 PE=1 SV=1	0.008987141778015127	0.035244245656103214	-0.19443774736359004	Matrix	NA	TRUE
Q8BI08	Q8BI08	MAL2	Protein MAL2 OS=Mus musculus GN=Mal2 PE=1 SV=1	0.27019300418523134	0.394688753194447	-0.08045557797835763	NA	NA	FALSE
P39098	P39098	MAN1A2	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB OS=Mus musculus GN=Man1a2 PE=1 SV=1	0.32124885130032294	0.44650835238289566	0.05099524254430058	NA	NA	FALSE
A2AJ15	A2AJ15	MAN1B1	Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase OS=Mus musculus GN=Man1b1 PE=1 SV=1	0.0025854208176575248	0.015387066807276705	-0.17578840862388848	NA	NA	FALSE
P27046	P27046	MAN2A1	Alpha-mannosidase 2 OS=Mus musculus GN=Man2a1 PE=1 SV=2	0.019161929810755852	0.057931699832948394	-0.16147346406259666	NA	NA	FALSE
Q8BRK9	Q8BRK9	MAN2A2	Alpha-mannosidase 2x OS=Mus musculus GN=Man2a2 PE=1 SV=2	0.043219280946935126	0.10302461978775884	0.1615567101095821	NA	NA	FALSE
O09159	O09159	MAN2B1	Lysosomal alpha-mannosidase OS=Mus musculus GN=Man2b1 PE=1 SV=4	0.006919497720660644	0.029503379851896612	-0.19889989131325042	NA	NA	FALSE
O54782	O54782	MAN2B2	Epididymis-specific alpha-mannosidase OS=Mus musculus GN=Man2b2 PE=1 SV=2	0.7589739219927116	0.8333125999762	0.04374914583657414	NA	NA	FALSE
Q91W89	Q91W89	MAN2C1	Alpha-mannosidase 2C1 OS=Mus musculus GN=Man2c1 PE=1 SV=1	0.00308880011018782	0.01725945267687414	0.28297256382106967	NA	NA	FALSE
Q8K2I4	Q8K2I4	MANBA	Beta-mannosidase OS=Mus musculus GN=Manba PE=1 SV=1	0.32218222330116164	0.44733625011071393	0.04444024155894613	NA	NA	FALSE
Q6NXH2	Q6NXH2	MANEA	Glycoprotein endo-alpha-1,2-mannosidase OS=Mus musculus GN=Manea PE=2 SV=1	0.09402359926961752	0.18123809350738293	0.20897467555105195	NA	NA	FALSE
Q6P1J0	Q6P1J0	MANEAL	Glycoprotein endo-alpha-1,2-mannosidase-like protein OS=Mus musculus GN=Maneal PE=2 SV=1	0.43665220675339533	0.5636742896562585	-0.08921083206419311	NA	NA	FALSE
Q9CXI5	Q9CXI5	MANF	Mesencephalic astrocyte-derived neurotrophic factor OS=Mus musculus GN=Manf PE=1 SV=1	0.0016068833411681436	0.011354359053476879	-0.23677415716429623	NA	NA	FALSE
Q64133	Q64133	MAOA	Amine oxidase [flavin-containing] A OS=Mus musculus GN=Maoa PE=1 SV=3	0.24034902103299807	0.3628551900999505	0.07535995021164921	MOM	NA	TRUE
Q8BW75	Q8BW75	MAOB	Amine oxidase [flavin-containing] B OS=Mus musculus GN=Maob PE=1 SV=4	0.034067777858645926	0.08602904743876878	-0.13573080597036025	MOM	NA	TRUE
Q9QYR6	Q9QYR6	MAP1A	Microtubule-associated protein 1A OS=Mus musculus GN=Map1a PE=1 SV=2	0.15246196931188757	0.2595949810465963	-0.26819719403813713	NA	NA	FALSE
P14873	P14873	MAP1B	Microtubule-associated protein 1B OS=Mus musculus GN=Map1b PE=1 SV=2	0.8446083813066623	0.8990853344236168	-0.010803912507352473	NA	NA	FALSE
Q91VR7	Q91VR7	MAP1LC3A	Microtubule-associated proteins 1A/1B light chain 3A OS=Mus musculus GN=Map1lc3a PE=1 SV=1	0.580767625196916	0.6922068398640835	0.04966137944796324	NA	NA	FALSE
Q9CQV6	Q9CQV6	MAP1LC3B	Microtubule-associated proteins 1A/1B light chain 3B OS=Mus musculus GN=Map1lc3b PE=1 SV=3	0.0016083072935860136	0.011354359053476879	0.2745350479692902	NA	NA	FALSE
Q8C052	Q8C052	MAP1S	Microtubule-associated protein 1S OS=Mus musculus GN=Map1s PE=1 SV=2	0.12507254810748547	0.22263198304277793	0.11880162190945397	NA	NA	FALSE
P20357	P20357	MAP2	Microtubule-associated protein 2 OS=Mus musculus GN=Map2 PE=1 SV=2	0.1011991340492682	0.19216775454710763	0.07324959455771739	NA	NA	FALSE
P31938	P31938	MAP2K1	Dual specificity mitogen-activated protein kinase kinase 1 OS=Mus musculus GN=Map2k1 PE=1 SV=2	0.06697723130388893	0.14110561866144333	-0.17526932045039242	NA	NA	FALSE
Q63932	Q63932	MAP2K2	Dual specificity mitogen-activated protein kinase kinase 2 OS=Mus musculus GN=Map2k2 PE=1 SV=2	0.1549930432332024	0.2623055967055414	0.11666550724836272	NA	NA	FALSE
O09110	O09110	MAP2K3	Dual specificity mitogen-activated protein kinase kinase 3 OS=Mus musculus GN=Map2k3 PE=1 SV=2	0.06243906190998592	0.13444279939654455	0.13110108263702694	NA	NA	FALSE
P47809	P47809	MAP2K4	Dual specificity mitogen-activated protein kinase kinase 4 OS=Mus musculus GN=Map2k4 PE=1 SV=2	1.8136673364463758e-4	0.0029143015587288442	0.2631495861700789	NA	NA	FALSE
Q9WVS7	Q9WVS7	MAP2K5	Dual specificity mitogen-activated protein kinase kinase 5 OS=Mus musculus GN=Map2k5 PE=1 SV=1	0.023073086410204172	0.0656009797708305	0.14679588893016096	NA	NA	FALSE
P70236	P70236	MAP2K6	Dual specificity mitogen-activated protein kinase kinase 6 OS=Mus musculus GN=Map2k6 PE=1 SV=1	0.8942453147068496	0.9322507405818907	-0.01612378725132568	NA	NA	FALSE
Q8CE90	Q8CE90	MAP2K7	Dual specificity mitogen-activated protein kinase kinase 7 OS=Mus musculus GN=Map2k7 PE=1 SV=1	0.09894435425262782	0.188458263048169	0.08410487519319876	NA	NA	FALSE
Q66L42	Q66L42	MAP3K10	Mitogen-activated protein kinase kinase kinase 10 OS=Mus musculus GN=Map3k10 PE=1 SV=2	5.824687321689346e-6	4.048157688574096e-4	0.4767263812216096	NA	NA	FALSE
Q60700	Q60700	MAP3K12	Mitogen-activated protein kinase kinase kinase 12 OS=Mus musculus GN=Map3k12 PE=1 SV=1	0.2798800519240421	0.4052429918483526	0.05793390654419563	NA	NA	FALSE
O08648	O08648	MAP3K4	Mitogen-activated protein kinase kinase kinase 4 OS=Mus musculus GN=Map3k4 PE=1 SV=2	2.808054707682976e-4	0.0037530731189224387	-0.35659332933990384	NA	NA	FALSE
O35099	O35099	MAP3K5	Mitogen-activated protein kinase kinase kinase 5 OS=Mus musculus GN=Map3k5 PE=1 SV=3	0.7761772900152057	0.844861950602721	-0.018543804925894195	NA	NA	FALSE
Q62073	Q62073	MAP3K7	Mitogen-activated protein kinase kinase kinase 7 OS=Mus musculus GN=Map3k7 PE=1 SV=1	0.7572163586555936	0.8318209208624407	-0.021626112426072798	NA	NA	FALSE
P27546	P27546	MAP4	Microtubule-associated protein 4 OS=Mus musculus GN=Map4 PE=1 SV=3	0.006976543549891834	0.029632798225481205	0.20232799354948328	NA	NA	FALSE
Q99JP0	Q99JP0	MAP4K3	Mitogen-activated protein kinase kinase kinase kinase 3 OS=Mus musculus GN=Map4k3 PE=1 SV=4	0.66889702184766	0.7637734340374431	0.024211262434883904	NA	NA	FALSE
P97820	P97820	MAP4K4	Mitogen-activated protein kinase kinase kinase kinase 4 OS=Mus musculus GN=Map4k4 PE=1 SV=1	0.06663056526330689	0.14051725749224028	0.08474571840394932	NA	NA	FALSE
Q8BPM2	Q8BPM2	MAP4K5	Mitogen-activated protein kinase kinase kinase kinase 5 OS=Mus musculus GN=Map4k5 PE=1 SV=2	0.22268448603750685	0.34409374015924044	0.046026991262784776	NA	NA	FALSE
Q7TSJ2	Q7TSJ2	MAP6	Microtubule-associated protein 6 OS=Mus musculus GN=Map6 PE=1 SV=2	0.5395740987177922	0.6569231265395302	0.02719649537733783	NA	NA	FALSE
Q14BB9	Q14BB9	MAP6D1	MAP6 domain-containing protein 1 OS=Mus musculus GN=Map6d1 PE=1 SV=1	0.2252464467971301	0.3463430136213244	0.06170298257780337	NA	NA	FALSE
O88735	O88735	MAP7	Ensconsin OS=Mus musculus GN=Map7 PE=1 SV=1	0.6837689719851914	0.7762291144801956	-0.037562789920795446	NA	NA	FALSE
A2AJI0	A2AJI0	MAP7D1	MAP7 domain-containing protein 1 OS=Mus musculus GN=Map7d1 PE=1 SV=1	0.006813732289539635	0.029103193594833713	-0.2756764705189927	NA	NA	FALSE
A2AG50	A2AG50	MAP7D2	MAP7 domain-containing protein 2 OS=Mus musculus GN=Map7d2 PE=1 SV=1	0.10476700592673245	0.19637926942514577	-0.07905813902081703	NA	NA	FALSE
Q3TRR0	Q3TRR0	MAP9	Microtubule-associated protein 9 OS=Mus musculus GN=Map9 PE=1 SV=2	0.19477475870304536	0.31135091124138736	-0.09358837045081647	NA	NA	FALSE
P63085	P63085	MAPK1	Mitogen-activated protein kinase 1 OS=Mus musculus GN=Mapk1 PE=1 SV=3	0.27675037180471523	0.40143324435111266	0.10375454369391637	NA	NA	FALSE
Q61831	Q61831	MAPK10	Mitogen-activated protein kinase 10 OS=Mus musculus GN=Mapk10 PE=1 SV=2	0.054995608737929705	0.12221619468407705	0.11941365257719516	NA	NA	FALSE
P47811	P47811	MAPK14	Mitogen-activated protein kinase 14 OS=Mus musculus GN=Mapk14 PE=1 SV=3	0.6567627884696333	0.7541860183362505	0.021523056222911643	NA	NA	FALSE
Q63844	Q63844	MAPK3	Mitogen-activated protein kinase 3 OS=Mus musculus GN=Mapk3 PE=1 SV=5	0.007587428199442059	0.03128501212096907	0.2169859471736388	NA	NA	FALSE
Q61532	Q61532	MAPK6	Mitogen-activated protein kinase 6 OS=Mus musculus GN=Mapk6 PE=1 SV=3	0.020932149744930677	0.061412099744156366	0.1416731947558143	NA	NA	FALSE
Q9WVS8	Q9WVS8	MAPK7	Mitogen-activated protein kinase 7 OS=Mus musculus GN=Mapk7 PE=1 SV=1	0.01203242094301556	0.04264180906434126	0.20073058997084275	NA	NA	FALSE
Q91Y86	Q91Y86	MAPK8	Mitogen-activated protein kinase 8 OS=Mus musculus GN=Mapk8 PE=1 SV=1	0.010596489902623499	0.03927236687727325	0.25014011759201177	NA	NA	FALSE
Q9WVI9	Q9WVI9	MAPK8IP1	C-Jun-amino-terminal kinase-interacting protein 1 OS=Mus musculus GN=Mapk8ip1 PE=1 SV=2	0.022101017364140465	0.06381765689503235	0.1112391067332452	NA	NA	FALSE
Q9ERE9	Q9ERE9	MAPK8IP2	C-Jun-amino-terminal kinase-interacting protein 2 OS=Mus musculus GN=Mapk8ip2 PE=1 SV=1	0.0034009536501374837	0.018351667760112517	-0.21724682414669072	NA	NA	FALSE
Q9ESN9	Q9ESN9	MAPK8IP3	C-Jun-amino-terminal kinase-interacting protein 3 OS=Mus musculus GN=Mapk8ip3 PE=1 SV=1	1.631804667587002e-5	7.343121004141508e-4	-0.6268937089889817	NA	NA	FALSE
Q9WTU6	Q9WTU6	MAPK9	Mitogen-activated protein kinase 9 OS=Mus musculus GN=Mapk9 PE=1 SV=2	0.10627123898631341	0.19846272923043984	-0.11376435413400914	NA	NA	FALSE
Q61166	Q61166	MAPRE1	Microtubule-associated protein RP/EB family member 1 OS=Mus musculus GN=Mapre1 PE=1 SV=3	4.5805825207028246e-4	0.005116347083392173	0.21172097855249458	NA	NA	FALSE
Q8R001	Q8R001	MAPRE2	Microtubule-associated protein RP/EB family member 2 OS=Mus musculus GN=Mapre2 PE=1 SV=1	0.11665114884242163	0.21217008898207249	0.10210969527981484	NA	NA	FALSE
Q6PER3	Q6PER3	MAPRE3	Microtubule-associated protein RP/EB family member 3 OS=Mus musculus GN=Mapre3 PE=1 SV=1	0.11342264389046183	0.2077477708740377	0.0907047443221725	NA	NA	FALSE
P10637	P10637	MAPT	Microtubule-associated protein tau OS=Mus musculus GN=Mapt PE=1 SV=3	9.228596752673276e-5	0.002025434129402503	0.24896869164952487	NA	NA	FALSE
Q922Q1	Q922Q1	MARC2	Mitochondrial amidoxime reducing component 2 OS=Mus musculus GN=Marc2 PE=1 SV=1	0.01453410064379343	0.0481774242326062	0.19395866824707697	MOM	NA	TRUE
Q6NZQ8	Q6NZQ8	MARCH1	E3 ubiquitin-protein ligase MARCH1 OS=Mus musculus GN=March1 PE=1 SV=2	6.717228000372934e-4	0.006575314732759421	-0.21519579291478547	NA	NA	FALSE
Q3KNM2	Q3KNM2	MARCH5	E3 ubiquitin-protein ligase MARCH5 OS=Mus musculus GN=March5 PE=1 SV=1	0.025948543041534544	0.07083228747761691	-0.1602609689524353	MOM	NA	TRUE
Q6ZQ89	Q6ZQ89	MARCH6	E3 ubiquitin-protein ligase MARCH6 OS=Mus musculus GN=March6 PE=2 SV=2	0.00804097008946801	0.03257530305027358	-0.19872338414290042	NA	E3 simple	FALSE
P26645	P26645	MARCKS	Myristoylated alanine-rich C-kinase substrate OS=Mus musculus GN=Marcks PE=1 SV=2	2.3281588123370307e-6	3.033881952326693e-4	-0.5694192731513927	NA	NA	FALSE
P28667	P28667	MARCKSL1	MARCKS-related protein OS=Mus musculus GN=Marcksl1 PE=1 SV=2	2.634687448696485e-4	0.00362994933735606	0.22437651654538782	NA	NA	FALSE
Q8VHJ5	Q8VHJ5	MARK1	Serine/threonine-protein kinase MARK1 OS=Mus musculus GN=Mark1 PE=1 SV=2	1.9223089318346498e-4	0.0029852403077078988	0.3384062176312534	NA	NA	FALSE
Q05512	Q05512	MARK2	Serine/threonine-protein kinase MARK2 OS=Mus musculus GN=Mark2 PE=1 SV=3	0.49872705237614756	0.6199272347390639	-0.02983762505456903	NA	NA	FALSE
Q03141	Q03141	MARK3	MAP/microtubule affinity-regulating kinase 3 OS=Mus musculus GN=Mark3 PE=1 SV=2	0.041911924625228164	0.10048259430080574	-0.1044275828074028	NA	NA	FALSE
Q8CIP4	Q8CIP4	MARK4	MAP/microtubule affinity-regulating kinase 4 OS=Mus musculus GN=Mark4 PE=1 SV=1	0.5475608689050471	0.6633726970755509	-0.033537619625829365	NA	NA	FALSE
Q68FL6	Q68FL6	MARS	Methionine--tRNA ligase, cytoplasmic OS=Mus musculus GN=Mars PE=1 SV=1	0.5722965172975296	0.6849800289648075	-0.034527532922419855	NA	NA	FALSE
Q499X9	Q499X9	MARS2	Methionine--tRNA ligase, mitochondrial OS=Mus musculus GN=Mars2 PE=1 SV=2	3.4254718573992985e-4	0.004232479690525003	0.247434555997707	Matrix	NA	TRUE
Q9R1L5	Q9R1L5	MAST1	Microtubule-associated serine/threonine-protein kinase 1 OS=Mus musculus GN=Mast1 PE=1 SV=3	0.05119117822605503	0.11591899043535492	-0.11165516655361978	NA	NA	FALSE
Q60592	Q60592	MAST2	Microtubule-associated serine/threonine-protein kinase 2 OS=Mus musculus GN=Mast2 PE=1 SV=1	0.9913422695105456	0.9953488796227425	5.966443516580708e-4	NA	NA	FALSE
Q3U214	Q3U214	MAST3	Microtubule-associated serine/threonine-protein kinase 3 OS=Mus musculus GN=Mast3 PE=1 SV=3	0.9533906546122738	0.9722341245937076	0.005151969448373672	NA	NA	FALSE
Q811L6	Q811L6	MAST4	Microtubule-associated serine/threonine-protein kinase 4 OS=Mus musculus GN=Mast4 PE=1 SV=3	0.2691139549436696	0.3935720804705759	-0.09805354812955444	NA	NA	FALSE
Q3THS6	Q3THS6	MAT2A	S-adenosylmethionine synthase isoform type-2 OS=Mus musculus GN=Mat2a PE=1 SV=2	0.7169621957920348	0.802149020364188	-0.029160354759000383	NA	NA	FALSE
Q99LB6	Q99LB6	MAT2B	Methionine adenosyltransferase 2 subunit beta OS=Mus musculus GN=Mat2b PE=1 SV=1	0.2468406259967026	0.3695519663976483	0.07697623908586274	NA	NA	FALSE
P41242	P41242	MATK	Megakaryocyte-associated tyrosine-protein kinase OS=Mus musculus GN=Matk PE=1 SV=2	0.013116898150632644	0.0452045167670563	0.17681494600244108	NA	NA	FALSE
Q8K310	Q8K310	MATR3	Matrin-3 OS=Mus musculus GN=Matr3 PE=1 SV=1	0.007619517677946732	0.031355317812866317	0.18734608088319515	NA	NA	FALSE
Q9D2X5	Q9D2X5	MAU2	MAU2 chromatid cohesion factor homolog OS=Mus musculus GN=Mau2 PE=1 SV=3	0.004321044663639083	0.02116077621565751	-0.6469909706955752	NA	NA	FALSE
Q8VCF0	Q8VCF0	MAVS	Mitochondrial antiviral-signaling protein OS=Mus musculus GN=Mavs PE=1 SV=1	0.7009945216696976	0.7903245733676925	-0.04046820025564983	MOM	NA	TRUE
P28574	P28574	MAX	Protein max OS=Mus musculus GN=Max PE=1 SV=1	0.008608810737600841	0.03424661922358901	-0.30261089920995454	NA	NA	FALSE
Q8C525	Q8C525	MB21D2	Protein MB21D2 OS=Mus musculus GN=Mb21d2 PE=1 SV=1	0.356624526738891	0.4834510599123904	-0.07284128835415453	NA	NA	FALSE
Q9Z2D8	Q9Z2D8	MBD3	Methyl-CpG-binding domain protein 3 OS=Mus musculus GN=Mbd3 PE=1 SV=1	0.05013271388926191	0.11432013320354839	-0.19317306631659262	NA	NA	FALSE
Q8BL86	Q8BL86	MBLAC2	Metallo-beta-lactamase domain-containing protein 2 OS=Mus musculus GN=Mblac2 PE=1 SV=2	0.8623003820387756	0.9121746811521295	-0.01680329705543579	NA	NA	FALSE
Q8R3I2	Q8R3I2	MBOAT2	Lysophospholipid acyltransferase 2 OS=Mus musculus GN=Mboat2 PE=1 SV=1	0.8032466152185402	0.86596131992278	0.00985874126422093	NA	NA	FALSE
